Topic,Tweet,Sentiment Polarity,Sentiment Subjectivity
Taimur,"RT @MixedRaita: As usual the same people who are so thrilled with #Taimur the butcher of Hindus, are today opposing #ShivajiMemorial the sa…",0.11666666666666665,0.35833333333333334
Taimur,"RT @MixedRaita: As usual the same people who are so thrilled with #Taimur the butcher of Hindus, are today opposing #ShivajiMemorial the sa…",0.11666666666666665,0.35833333333333334
Taimur,"RT @pinkvilla: ""How dare anybody have an opinion about this""?- @karanjohar jumps in defense of #Taimur name controversy! https://t.co/6ixqD…",0.0,0.0
Taimur,"RT @MixedRaita: As usual the same people who are so thrilled with #Taimur the butcher of Hindus, are today opposing #ShivajiMemorial the sa…",0.11666666666666665,0.35833333333333334
Taimur,"RT @taslimanasreen: Taimur Ali Khan? Not Taimur Kapoor? He is only father's son,not mother's son? Tragedy is, liberated women happily accep…",0.4,1.0
Taimur,"@chintskap Taimur's specific aim, was to wage holy war against infidels aka Hindus. Alexander didn't targetted any specific community.",0.0,0.125
Taimur,"RT @amitakjain: Kareena (on phone) giving directions to her friend to reach  hospital

""Han..pehle Daimur
seedha aake Baimur
Aur bass fir #…",-0.15000000000000002,0.5
Taimur,"RT @BolshoyBooze: Taimur is ok. Thanks Kareena and Saif for not naming him Rajdeep, Barkha or Arvind",0.35,0.35
Taimur,"If a common man approaches the court to order Saif-Kareena to go to Pakistan with the baby Taimur, then court may not listen.",-0.3,0.5
Taimur,RT @alamgirizvi: Now Desh badal geya hai. No Gandhiizam. Right-wing Hindutva brigade wish death on newborn child of Saif and Kareena https:…,0.0,0.0
Taimur,"RT @MixedRaita: As usual the same people who are so thrilled with #Taimur the butcher of Hindus, are today opposing #ShivajiMemorial the sa…",0.11666666666666665,0.35833333333333334
